codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
79421;VIL NAPOLEAO MACEDO;Vila Napoleão Macedo;Vil Napoleao Macedo;S;Via Pavimentada;;;779;AFOGADOS
79677;TRV TAUBATE;Travessa Taubaté;Trv Taubate;X;Não definida;;;868;JARDIM SAO PAULO
79448;RUA PROFESSOR JOSE BRASILEIRO VILANOVA;Rua Professor José Brasileiro Vilanova;R. Prof José Brasileiro Vilanova;N;Via Não Pavimentada;;;230;IBURA
79464;RUA GOITA;Rua Goitá;R. Goita;S;Via Pavimentada;;;779;AFOGADOS
79472;RUA ESPERANCA;Rua Esperança;R. Esperanca;X;Não definida;;;779;AFOGADOS
79480;RUA BUENOPOLIS;Rua Buenópolis;R. Buenopolis;S;Via Pavimentada;;;779;AFOGADOS
79499;TRV DA PITOMBEIRA;Travessa da Pitombeira;Trv da Pitombeira;S;Via Pavimentada;;;337;AGUA FRIA
79510;RUA CORNELIO PENA;Rua Cornélio Pena;R. Cornelio Pena;X;Não definida;;;906;SANCHO
79529;RUA ENGENHO CRIMELIA;Rua Engenho Crimélia;R. Engenho Crimelia;X;Não definida;;;906;SANCHO
79537;BEC DO ACUCAR;Beco do Açucar;Bec do Acucar;N;Via Não Pavimentada;;;108;SANTO AMARO
79545;TRV DO CRISTAL;Travessa do Cristal;Trv do Cristal;X;Não definida;;;108;SANTO AMARO
79553;TRV ANTONIO COSTA BARBOSA;Travessa Antônio Costa Barbosa;Trv Antônio Costa Barbosa;S;Via Pavimentada;;;906;SANCHO
79561;2TR DA FLORESTA;2ª Travessa da Floresta;2Tr da Floresta;P;Via Parcialmente Pavimentada;;;108;SANTO AMARO
79570;RUA SAO BERNARDO;Rua São Bernardo;R. São Bernardo;S;Via Pavimentada;;;108;SANTO AMARO
79588;RUA SEVERINA SILVA REGO;Rua Severina Silva Rego;R. Severina Silva Rego;S;Via Pavimentada;;;833;ESTANCIA
79596;TRV TEIXEIRA;Travessa Teixeira;Trv Teixeira;N;Via Não Pavimentada;;;833;ESTANCIA
79600;RUA DR FELIPE FIGUEIROA DE FARIA;Rua Dr Felipe Figueiroa de Faria;R. Dr Felipe Figueiroa de Faria;P;Via Parcialmente Pavimentada;;;833;ESTANCIA
79618;TRV CAP DOMINGOS DA COSTA;Travessa Capitão Domingos da Costa;Trv Cap Domingos da Costa;N;Via Não Pavimentada;;;850;AREIAS
79626;RUA HELIO ALMEIDA;Rua Hélio Almeida;R. Helio Almeida;S;Via Pavimentada;;;850;AREIAS
79642;TRV DR JOSE MARCIONILO DE BARROS LINS;Travessa Dr José Marcionilo de Barros Lins;Trv Dr José Marcionilo de Barros Lins;S;Via Pavimentada;;;698;IPUTINGA
79650;1TR SUCUPIRA;1ª Travessa Sucupira;1Tr Sucupira;P;Via Parcialmente Pavimentada;;;698;IPUTINGA
